Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Sub-Saharan Africa,8.891772503,9.165255915,9.417213201,9.714210143,10.00070704,10.33388836,10.73420781,11.12331561,11.46607979,11.85479096,12.23408382,12.66713932,13.09299776,13.52459215,13.98902957,14.48827532,15.11304188,15.71941675,16.35154867,17.09286502,17.73833925
World,49.46109827,49.87604508,50.44682926,50.90287332,51.65509108,52.39460297,53.11734836,53.92909042,54.85487896,56.01167037,57.01040132,58.08872055,59.31578948,60.41724248,61.79685967,63.06847757,64.29953707,65.77361784,67.14703193,68.45717099,69.68183942
